LAD12CD,LAD12CDO,LAD12NM,PCO12CD,PCO12CDO,PCO12NM
E08000007,00BS,Stockport,E16000026,5F7,Stockport
E08000008,00BT,Tameside,E16000062,5LH,Tameside and Glossop
E08000009,00BU,Trafford,E16000097,5NR,Trafford
E08000010,00BW,Wigan,E16000032,5HG,"Ashton, Leigh and Wigan"
E08000011,00BX,Knowsley,E16000038,5J4,Knowsley
E08000012,00BY,Liverpool,E16000092,5NL,Liverpool
E08000013,00BZ,St. Helens,E16000093,5NM,Halton and St Helens
E08000014,00CA,Sefton,E16000090,5NJ,Sefton
E08000015,00CB,Wirral,E16000091,5NK,Wirral
E08000016,00CC,Barnsley,E16000042,5JE,Barnsley
E08000017,00CE,Doncaster,E16000078,5N5,Doncaster
E08000018,00CF,Rotherham,E16000031,5H8,Rotherham
E08000019,00CG,Sheffield,E16000077,5N4,Sheffield
E08000020,00CH,Gateshead,E16000050,5KF,Gateshead
E08000021,00CJ,Newcastle upon Tyne,E16000017,5D7,Newcastle
E08000022,00CK,North Tyneside,E16000018,5D8,North Tyneside
E08000023,00CL,South Tyneside,E16000051,5KG,South Tyneside
E08000024,00CM,Sunderland,E16000052,5KL,Sunderland Teaching
E08000025,00CN,Birmingham,E16000064,5M1,South Birmingham
E08000025,00CN,Birmingham,E16000073,5MX,Heart of Birmingham Teaching
E08000025,00CN,Birmingham,E16000117,5PG,Birmingham East and North
E08000026,00CQ,Coventry,E16000070,5MD,Coventry Teaching
E08000027,00CR,Dudley,E16000115,5PE,Dudley
E08000028,00CS,Sandwell,E16000116,5PF,Sandwell
E08000029,00CT,Solihull,E16000151,5QW,Solihull
E08000030,00CU,Walsall,E16000066,5M3,Walsall Teaching
E08000031,00CW,Wolverhampton,E16000072,5MV,Wolverhampton City
E08000032,00CX,Bradford,E16000102,5NY,Bradford and Airedale Teaching
E08000033,00CY,Calderdale,E16000040,5J6,Calderdale
E08000034,00CZ,Kirklees,E16000075,5N2,Kirklees
E08000035,00DA,Leeds,E16000074,5N1,Leeds
E08000036,00DB,Wakefield,E16000076,5N3,Wakefield District
E06000001,00EB,Hartlepool,E16000019,5D9,Hartlepool
E06000002,00EC,Middlesbrough,E16000053,5KM,Middlesbrough
E06000003,00EE,Redcar and Cleveland,E16000146,5QR,Redcar and Cleveland
E06000004,00EF,Stockton-on-Tees,E16000020,5.00E+01,Stockton-on-Tees Teaching
E06000005,00EH,Darlington,E16000041,5J9,Darlington
E06000047,00EJ,County Durham,E16000085,5ND,County Durham
E06000048,00EM,Northumberland,E17000001,TAC,Northumberland
E06000049,00EQ,Cheshire East,E16000094,5NN,Western Cheshire
E06000049,00EQ,Cheshire East,E16000095,5NP,Central and Eastern Cheshire
